version,file_path,smell_count,subtype
v32.2.2,aioesphomeapi/__init__.py,0,Backend
v32.2.2,aioesphomeapi/_frame_helper/__init__.py,0,Backend
v32.2.2,aioesphomeapi/_frame_helper/base.py,1,Backend
v32.2.2,aioesphomeapi/_frame_helper/noise.py,1,Backend
v32.2.2,aioesphomeapi/_frame_helper/noise_encryption.py,1,Backend
v32.2.2,aioesphomeapi/_frame_helper/packets.py,0,Backend
v32.2.2,aioesphomeapi/_frame_helper/plain_text.py,1,Backend
v32.2.2,aioesphomeapi/api_options_pb2.py,0,Backend
v32.2.2,aioesphomeapi/api_pb2.py,1,Backend
v32.2.2,aioesphomeapi/ble_defs.py,0,Backend
v32.2.2,aioesphomeapi/client.py,2,Backend
v32.2.2,aioesphomeapi/client_base.py,1,Backend
v32.2.2,aioesphomeapi/connection.py,1,Backend
v32.2.2,aioesphomeapi/core.py,1,Backend
v32.2.2,aioesphomeapi/discover.py,1,Backend
v32.2.2,aioesphomeapi/host_resolver.py,1,Backend
v32.2.2,aioesphomeapi/log_parser.py,0,Backend
v32.2.2,aioesphomeapi/log_reader.py,1,Backend
v32.2.2,aioesphomeapi/log_runner.py,1,Backend
v32.2.2,aioesphomeapi/model.py,2,Backend
v32.2.2,aioesphomeapi/model_conversions.py,0,Backend
v32.2.2,aioesphomeapi/reconnect_logic.py,1,Backend
v32.2.2,aioesphomeapi/util.py,0,Backend
v32.2.2,aioesphomeapi/zeroconf.py,0,Backend
v32.2.2,bench/raw_ble_plain_text.py,3,Unclassified
v32.2.2,bench/raw_ble_plain_text_with_callback.py,1,Unclassified
v32.2.2,setup.py,1,Config
v32.2.2,tests/__init__.py,0,Tests
v32.2.2,tests/benchmarks/__init__.py,0,Tests
v32.2.2,tests/benchmarks/conftest.py,0,Tests
v32.2.2,tests/benchmarks/test_bluetooth.py,0,Tests
v32.2.2,tests/benchmarks/test_noise.py,0,Tests
v32.2.2,tests/benchmarks/test_requests.py,0,Tests
v32.2.2,tests/common.py,2,Tests
v32.2.2,tests/conftest.py,2,Tests
v32.2.2,tests/test__frame_helper.py,1,Tests
v32.2.2,tests/test_client.py,1,Tests
v32.2.2,tests/test_connection.py,1,Tests
v32.2.2,tests/test_core.py,0,Tests
v32.2.2,tests/test_host_resolver.py,1,Tests
v32.2.2,tests/test_log_parser.py,1,Tests
v32.2.2,tests/test_log_runner.py,1,Tests
v32.2.2,tests/test_model.py,1,Tests
v32.2.2,tests/test_reconnect_logic.py,1,Tests
v32.2.2,tests/test_util.py,0,Tests
v32.2.2,tests/test_zeroconf.py,1,Tests
