version,file_path,smell_count,subtype
v5.5.3,celery/__init__.py,0,Unclassified
v5.5.3,celery/__main__.py,0,Unclassified
v5.5.3,celery/_state.py,0,Unclassified
v5.5.3,celery/app/__init__.py,0,Core
v5.5.3,celery/app/amqp.py,6,Core
v5.5.3,celery/app/annotations.py,0,Core
v5.5.3,celery/app/autoretry.py,0,Core
v5.5.3,celery/app/backends.py,1,Core
v5.5.3,celery/app/base.py,7,Core
v5.5.3,celery/app/builtins.py,1,Core
v5.5.3,celery/app/control.py,8,Core
v5.5.3,celery/app/defaults.py,1,Core
v5.5.3,celery/app/events.py,0,Core
v5.5.3,celery/app/log.py,1,Core
v5.5.3,celery/app/registry.py,1,Core
v5.5.3,celery/app/routes.py,1,Core
v5.5.3,celery/app/task.py,4,Core
v5.5.3,celery/app/trace.py,2,Core
v5.5.3,celery/app/utils.py,3,Core
v5.5.3,celery/apps/__init__.py,0,Unclassified
v5.5.3,celery/apps/beat.py,1,Unclassified
v5.5.3,celery/apps/multi.py,3,Unclassified
v5.5.3,celery/apps/worker.py,2,Unclassified
v5.5.3,celery/backends/__init__.py,0,Unclassified
v5.5.3,celery/backends/arangodb.py,2,Unclassified
v5.5.3,celery/backends/asynchronous.py,4,Unclassified
v5.5.3,celery/backends/azureblockblob.py,2,Unclassified
v5.5.3,celery/backends/base.py,10,Unclassified
v5.5.3,celery/backends/cache.py,1,Unclassified
v5.5.3,celery/backends/cassandra.py,2,Unclassified
v5.5.3,celery/backends/consul.py,2,Unclassified
v5.5.3,celery/backends/cosmosdbsql.py,1,Unclassified
v5.5.3,celery/backends/couchbase.py,2,Unclassified
v5.5.3,celery/backends/couchdb.py,2,Unclassified
v5.5.3,celery/backends/database/__init__.py,1,Unclassified
v5.5.3,celery/backends/database/models.py,2,Unclassified
v5.5.3,celery/backends/database/session.py,0,Unclassified
v5.5.3,celery/backends/dynamodb.py,2,Unclassified
v5.5.3,celery/backends/elasticsearch.py,1,Unclassified
v5.5.3,celery/backends/filesystem.py,1,Unclassified
v5.5.3,celery/backends/gcs.py,1,Unclassified
v5.5.3,celery/backends/mongodb.py,2,Unclassified
v5.5.3,celery/backends/redis.py,3,Unclassified
v5.5.3,celery/backends/rpc.py,2,Unclassified
v5.5.3,celery/backends/s3.py,2,Unclassified
v5.5.3,celery/beat.py,10,Unclassified
v5.5.3,celery/bin/__init__.py,0,Utils
v5.5.3,celery/bin/amqp.py,2,Utils
v5.5.3,celery/bin/base.py,2,Utils
v5.5.3,celery/bin/beat.py,1,Utils
v5.5.3,celery/bin/call.py,1,Utils
v5.5.3,celery/bin/celery.py,2,Utils
v5.5.3,celery/bin/control.py,2,Utils
v5.5.3,celery/bin/events.py,1,Utils
v5.5.3,celery/bin/graph.py,1,Utils
v5.5.3,celery/bin/list.py,0,Utils
v5.5.3,celery/bin/logtool.py,2,Utils
v5.5.3,celery/bin/migrate.py,1,Utils
v5.5.3,celery/bin/multi.py,3,Utils
v5.5.3,celery/bin/purge.py,0,Utils
v5.5.3,celery/bin/result.py,0,Utils
v5.5.3,celery/bin/shell.py,1,Utils
v5.5.3,celery/bin/upgrade.py,1,Utils
v5.5.3,celery/bin/worker.py,2,Utils
v5.5.3,celery/bootsteps.py,8,Unclassified
v5.5.3,celery/canvas.py,20,Unclassified
v5.5.3,celery/concurrency/__init__.py,0,Unclassified
v5.5.3,celery/concurrency/asynpool.py,3,Unclassified
v5.5.3,celery/concurrency/base.py,6,Unclassified
v5.5.3,celery/concurrency/eventlet.py,1,Unclassified
v5.5.3,celery/concurrency/gevent.py,1,Unclassified
v5.5.3,celery/concurrency/prefork.py,1,Unclassified
v5.5.3,celery/concurrency/solo.py,0,Unclassified
v5.5.3,celery/concurrency/thread.py,0,Unclassified
v5.5.3,celery/contrib/__init__.py,0,Unclassified
v5.5.3,celery/contrib/abortable.py,0,Unclassified
v5.5.3,celery/contrib/django/__init__.py,0,Unclassified
v5.5.3,celery/contrib/django/task.py,0,Unclassified
v5.5.3,celery/contrib/migrate.py,3,Unclassified
v5.5.3,celery/contrib/pytest.py,2,Unclassified
v5.5.3,celery/contrib/rdb.py,2,Unclassified
v5.5.3,celery/contrib/sphinx.py,1,Unclassified
v5.5.3,celery/contrib/testing/__init__.py,0,Unclassified
v5.5.3,celery/contrib/testing/app.py,1,Unclassified
v5.5.3,celery/contrib/testing/manager.py,2,Unclassified
v5.5.3,celery/contrib/testing/mocks.py,1,Unclassified
v5.5.3,celery/contrib/testing/tasks.py,0,Unclassified
v5.5.3,celery/contrib/testing/worker.py,2,Unclassified
v5.5.3,celery/events/__init__.py,0,Unclassified
v5.5.3,celery/events/cursesmon.py,3,Unclassified
v5.5.3,celery/events/dispatcher.py,1,Unclassified
v5.5.3,celery/events/dumper.py,2,Unclassified
v5.5.3,celery/events/event.py,0,Unclassified
v5.5.3,celery/events/receiver.py,1,Unclassified
v5.5.3,celery/events/snapshot.py,1,Unclassified
v5.5.3,celery/events/state.py,3,Unclassified
v5.5.3,celery/exceptions.py,2,Unclassified
v5.5.3,celery/fixups/__init__.py,0,Unclassified
v5.5.3,celery/fixups/django.py,2,Unclassified
v5.5.3,celery/loaders/__init__.py,0,Unclassified
v5.5.3,celery/loaders/app.py,0,Unclassified
v5.5.3,celery/loaders/base.py,2,Unclassified
v5.5.3,celery/loaders/default.py,1,Unclassified
v5.5.3,celery/local.py,1,Unclassified
v5.5.3,celery/platforms.py,2,Unclassified
v5.5.3,celery/result.py,17,Unclassified
v5.5.3,celery/schedules.py,3,Unclassified
v5.5.3,celery/security/__init__.py,0,Unclassified
v5.5.3,celery/security/certificate.py,1,Unclassified
v5.5.3,celery/security/key.py,1,Unclassified
v5.5.3,celery/security/serialization.py,1,Unclassified
v5.5.3,celery/security/utils.py,0,Unclassified
v5.5.3,celery/signals.py,0,Unclassified
v5.5.3,celery/states.py,0,Unclassified
v5.5.3,celery/utils/__init__.py,0,Utils
v5.5.3,celery/utils/abstract.py,0,Utils
v5.5.3,celery/utils/annotations.py,0,Utils
v5.5.3,celery/utils/collections.py,3,Utils
v5.5.3,celery/utils/debug.py,1,Utils
v5.5.3,celery/utils/deprecated.py,0,Utils
v5.5.3,celery/utils/dispatch/__init__.py,0,Utils
v5.5.3,celery/utils/dispatch/signal.py,1,Utils
v5.5.3,celery/utils/functional.py,1,Utils
v5.5.3,celery/utils/graph.py,2,Utils
v5.5.3,celery/utils/imports.py,0,Utils
v5.5.3,celery/utils/iso8601.py,0,Utils
v5.5.3,celery/utils/log.py,2,Utils
v5.5.3,celery/utils/nodenames.py,1,Utils
v5.5.3,celery/utils/objects.py,0,Utils
v5.5.3,celery/utils/quorum_queues.py,0,Utils
v5.5.3,celery/utils/saferepr.py,1,Utils
v5.5.3,celery/utils/serialization.py,1,Utils
v5.5.3,celery/utils/static/__init__.py,0,Utils
v5.5.3,celery/utils/sysinfo.py,0,Utils
v5.5.3,celery/utils/term.py,3,Utils
v5.5.3,celery/utils/text.py,0,Utils
v5.5.3,celery/utils/threads.py,2,Utils
v5.5.3,celery/utils/time.py,3,Utils
v5.5.3,celery/utils/timer2.py,1,Utils
v5.5.3,celery/worker/__init__.py,0,Unclassified
v5.5.3,celery/worker/autoscale.py,1,Unclassified
v5.5.3,celery/worker/components.py,2,Unclassified
v5.5.3,celery/worker/consumer/__init__.py,0,Unclassified
v5.5.3,celery/worker/consumer/agent.py,0,Unclassified
v5.5.3,celery/worker/consumer/connection.py,0,Unclassified
v5.5.3,celery/worker/consumer/consumer.py,2,Unclassified
v5.5.3,celery/worker/consumer/control.py,0,Unclassified
v5.5.3,celery/worker/consumer/delayed_delivery.py,1,Unclassified
v5.5.3,celery/worker/consumer/events.py,0,Unclassified
v5.5.3,celery/worker/consumer/gossip.py,1,Unclassified
v5.5.3,celery/worker/consumer/heart.py,0,Unclassified
v5.5.3,celery/worker/consumer/mingle.py,0,Unclassified
v5.5.3,celery/worker/consumer/tasks.py,0,Unclassified
v5.5.3,celery/worker/control.py,3,Unclassified
v5.5.3,celery/worker/heartbeat.py,0,Unclassified
v5.5.3,celery/worker/loops.py,1,Unclassified
v5.5.3,celery/worker/pidbox.py,1,Unclassified
v5.5.3,celery/worker/request.py,3,Unclassified
v5.5.3,celery/worker/state.py,2,Unclassified
v5.5.3,celery/worker/strategy.py,2,Unclassified
v5.5.3,celery/worker/worker.py,2,Unclassified
v5.5.3,docs/_ext/celerydocs.py,1,Docs
v5.5.3,docs/changelog_formatter.py,1,Docs
v5.5.3,docs/conf.py,0,Docs
v5.5.3,examples/app/myapp.py,0,Core
v5.5.3,examples/celery_http_gateway/__init__.py,0,Utils
v5.5.3,examples/celery_http_gateway/manage.py,0,Utils
v5.5.3,examples/celery_http_gateway/settings.py,0,Config
v5.5.3,examples/celery_http_gateway/tasks.py,0,Utils
v5.5.3,examples/celery_http_gateway/urls.py,0,Utils
v5.5.3,examples/django/demoapp/__init__.py,0,Core
v5.5.3,examples/django/demoapp/migrations/0001_initial.py,0,Core
