version,file_path,smell_count,subtype
v22.1,changes/config.py,1,Config
v22.1,docs/__init__.py,0,Docs
v22.1,docs/auxil/__init__.py,0,Docs
v22.1,docs/auxil/admonition_inserter.py,2,Docs
v22.1,docs/auxil/kwargs_insertion.py,0,Docs
v22.1,docs/auxil/link_code.py,0,Docs
v22.1,docs/auxil/sphinx_hooks.py,2,Docs
v22.1,docs/auxil/tg_const_role.py,1,Docs
v22.1,docs/source/conf.py,2,Docs
v22.1,examples/arbitrarycallbackdatabot.py,0,Utils
v22.1,examples/chatmemberbot.py,2,Utils
v22.1,examples/contexttypesbot.py,2,Utils
v22.1,examples/conversationbot.py,1,Utils
v22.1,examples/conversationbot2.py,1,Utils
v22.1,examples/customwebhookbot/djangobot.py,1,Utils
v22.1,examples/customwebhookbot/flaskbot.py,1,Utils
v22.1,examples/customwebhookbot/quartbot.py,1,Utils
v22.1,examples/customwebhookbot/starlettebot.py,1,Utils
v22.1,examples/deeplinking.py,1,Utils
v22.1,examples/echobot.py,0,Utils
v22.1,examples/errorhandlerbot.py,1,Utils
v22.1,examples/inlinebot.py,1,Utils
v22.1,examples/inlinekeyboard.py,0,Utils
v22.1,examples/inlinekeyboard2.py,1,Utils
v22.1,examples/nestedconversationbot.py,1,Utils
v22.1,examples/passportbot.py,1,Utils
v22.1,examples/paymentbot.py,1,Utils
v22.1,examples/persistentconversationbot.py,1,Utils
v22.1,examples/pollbot.py,0,Utils
v22.1,examples/rawapibot.py,1,Utils
v22.1,examples/timerbot.py,1,Utils
v22.1,examples/webappbot.py,0,Utils
v22.1,telegram/__init__.py,0,Unclassified
v22.1,telegram/__main__.py,0,Unclassified
v22.1,telegram/_birthdate.py,0,Unclassified
v22.1,telegram/_bot.py,3,Unclassified
v22.1,telegram/_botcommand.py,0,Unclassified
v22.1,telegram/_botcommandscope.py,1,Unclassified
v22.1,telegram/_botdescription.py,0,Unclassified
v22.1,telegram/_botname.py,0,Unclassified
v22.1,telegram/_business.py,1,Unclassified
v22.1,telegram/_callbackquery.py,1,Unclassified
v22.1,telegram/_chat.py,2,Unclassified
v22.1,telegram/_chatadministratorrights.py,0,Unclassified
v22.1,telegram/_chatbackground.py,1,Unclassified
v22.1,telegram/_chatboost.py,1,Unclassified
v22.1,telegram/_chatfullinfo.py,2,Unclassified
v22.1,telegram/_chatinvitelink.py,0,Unclassified
v22.1,telegram/_chatjoinrequest.py,1,Unclassified
v22.1,telegram/_chatlocation.py,0,Unclassified
v22.1,telegram/_chatmember.py,1,Unclassified
v22.1,telegram/_chatmemberupdated.py,2,Unclassified
v22.1,telegram/_chatpermissions.py,0,Unclassified
v22.1,telegram/_choseninlineresult.py,0,Unclassified
v22.1,telegram/_copytextbutton.py,0,Unclassified
v22.1,telegram/_dice.py,0,Unclassified
v22.1,telegram/_files/__init__.py,0,Unclassified
v22.1,telegram/_files/_basemedium.py,1,Unclassified
v22.1,telegram/_files/_basethumbedmedium.py,1,Unclassified
v22.1,telegram/_files/_inputstorycontent.py,1,Unclassified
v22.1,telegram/_files/animation.py,0,Unclassified
v22.1,telegram/_files/audio.py,0,Unclassified
v22.1,telegram/_files/chatphoto.py,1,Unclassified
v22.1,telegram/_files/contact.py,0,Unclassified
v22.1,telegram/_files/document.py,0,Unclassified
v22.1,telegram/_files/file.py,2,Unclassified
v22.1,telegram/_files/inputfile.py,1,Unclassified
v22.1,telegram/_files/inputmedia.py,2,Unclassified
v22.1,telegram/_files/inputprofilephoto.py,1,Unclassified
v22.1,telegram/_files/inputsticker.py,1,Unclassified
v22.1,telegram/_files/location.py,0,Unclassified
v22.1,telegram/_files/photosize.py,0,Unclassified
v22.1,telegram/_files/sticker.py,2,Unclassified
v22.1,telegram/_files/venue.py,1,Unclassified
v22.1,telegram/_files/video.py,1,Unclassified
v22.1,telegram/_files/videonote.py,0,Unclassified
v22.1,telegram/_files/voice.py,0,Unclassified
v22.1,telegram/_forcereply.py,0,Unclassified
v22.1,telegram/_forumtopic.py,1,Unclassified
v22.1,telegram/_games/__init__.py,0,Unclassified
v22.1,telegram/_games/callbackgame.py,0,Unclassified
v22.1,telegram/_games/game.py,1,Unclassified
v22.1,telegram/_games/gamehighscore.py,1,Unclassified
v22.1,telegram/_gifts.py,4,Unclassified
v22.1,telegram/_giveaway.py,4,Unclassified
v22.1,telegram/_inline/__init__.py,0,Unclassified
v22.1,telegram/_inline/inlinekeyboardbutton.py,2,Unclassified
v22.1,telegram/_inline/inlinekeyboardmarkup.py,1,Unclassified
v22.1,telegram/_inline/inlinequery.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresult.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultarticle.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultaudio.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultcachedaudio.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultcacheddocument.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultcachedgif.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultcachedmpeg4gif.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultcachedphoto.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultcachedsticker.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultcachedvideo.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultcachedvoice.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultcontact.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultdocument.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultgame.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultgif.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultlocation.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultmpeg4gif.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultphoto.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultsbutton.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultvenue.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultvideo.py,1,Unclassified
v22.1,telegram/_inline/inlinequeryresultvoice.py,1,Unclassified
v22.1,telegram/_inline/inputcontactmessagecontent.py,0,Unclassified
v22.1,telegram/_inline/inputinvoicemessagecontent.py,1,Unclassified
v22.1,telegram/_inline/inputlocationmessagecontent.py,0,Unclassified
v22.1,telegram/_inline/inputmessagecontent.py,0,Unclassified
v22.1,telegram/_inline/inputtextmessagecontent.py,1,Unclassified
v22.1,telegram/_inline/inputvenuemessagecontent.py,0,Unclassified
v22.1,telegram/_inline/preparedinlinemessage.py,1,Unclassified
v22.1,telegram/_keyboardbutton.py,0,Unclassified
v22.1,telegram/_keyboardbuttonpolltype.py,0,Unclassified
v22.1,telegram/_keyboardbuttonrequest.py,0,Unclassified
v22.1,telegram/_linkpreviewoptions.py,0,Unclassified
v22.1,telegram/_loginurl.py,0,Unclassified
v22.1,telegram/_menubutton.py,1,Unclassified
v22.1,telegram/_message.py,6,Unclassified
v22.1,telegram/_messageautodeletetimerchanged.py,0,Unclassified
v22.1,telegram/_messageentity.py,0,Unclassified
v22.1,telegram/_messageid.py,0,Unclassified
v22.1,telegram/_messageorigin.py,1,Unclassified
v22.1,telegram/_messagereactionupdated.py,2,Unclassified
v22.1,telegram/_ownedgift.py,1,Unclassified
v22.1,telegram/_paidmedia.py,1,Unclassified
v22.1,telegram/_paidmessagepricechanged.py,0,Unclassified
v22.1,telegram/_passport/__init__.py,0,Unclassified
v22.1,telegram/_passport/credentials.py,2,Unclassified
v22.1,telegram/_passport/data.py,0,Unclassified
v22.1,telegram/_passport/encryptedpassportelement.py,2,Unclassified
v22.1,telegram/_passport/passportdata.py,1,Unclassified
v22.1,telegram/_passport/passportelementerrors.py,2,Unclassified
v22.1,telegram/_passport/passportfile.py,1,Unclassified
v22.1,telegram/_payment/__init__.py,0,Unclassified
v22.1,telegram/_payment/invoice.py,0,Unclassified
v22.1,telegram/_payment/labeledprice.py,0,Unclassified
v22.1,telegram/_payment/orderinfo.py,1,Unclassified
v22.1,telegram/_payment/precheckoutquery.py,1,Unclassified
v22.1,telegram/_payment/refundedpayment.py,0,Unclassified
v22.1,telegram/_payment/shippingaddress.py,0,Unclassified
v22.1,telegram/_payment/shippingoption.py,1,Unclassified
v22.1,telegram/_payment/shippingquery.py,1,Unclassified
v22.1,telegram/_payment/stars/__init__.py,0,Unclassified
v22.1,telegram/_payment/stars/affiliateinfo.py,1,Unclassified
v22.1,telegram/_payment/stars/revenuewithdrawalstate.py,2,Unclassified
v22.1,telegram/_payment/stars/staramount.py,0,Unclassified
v22.1,telegram/_payment/stars/startransactions.py,1,Unclassified
v22.1,telegram/_payment/stars/transactionpartner.py,2,Unclassified
v22.1,telegram/_payment/successfulpayment.py,1,Unclassified
v22.1,telegram/_poll.py,1,Unclassified
v22.1,telegram/_proximityalerttriggered.py,0,Unclassified
v22.1,telegram/_reaction.py,1,Unclassified
v22.1,telegram/_reply.py,2,Unclassified
v22.1,telegram/_replykeyboardmarkup.py,1,Unclassified
v22.1,telegram/_replykeyboardremove.py,0,Unclassified
v22.1,telegram/_sentwebappmessage.py,0,Unclassified
v22.1,telegram/_shared.py,1,Unclassified
v22.1,telegram/_story.py,0,Unclassified
v22.1,telegram/_storyarea.py,1,Unclassified
v22.1,telegram/_switchinlinequerychosenchat.py,0,Unclassified
v22.1,telegram/_telegramobject.py,1,Unclassified
v22.1,telegram/_uniquegift.py,1,Unclassified
v22.1,telegram/_update.py,2,Unclassified
v22.1,telegram/_user.py,2,Unclassified
v22.1,telegram/_userprofilephotos.py,0,Unclassified
v22.1,telegram/_utils/__init__.py,0,Utils
v22.1,telegram/_utils/argumentparsing.py,2,Utils
v22.1,telegram/_utils/datetime.py,1,Utils
v22.1,telegram/_utils/defaultvalue.py,0,Utils
v22.1,telegram/_utils/entities.py,0,Utils
v22.1,telegram/_utils/enum.py,0,Utils
v22.1,telegram/_utils/files.py,0,Utils
v22.1,telegram/_utils/logging.py,0,Utils
v22.1,telegram/_utils/markup.py,0,Utils
v22.1,telegram/_utils/repr.py,0,Utils
v22.1,telegram/_utils/strings.py,0,Utils
v22.1,telegram/_utils/types.py,0,Utils
v22.1,telegram/_utils/warnings.py,0,Utils
v22.1,telegram/_utils/warnings_transition.py,0,Utils
v22.1,telegram/_version.py,0,Unclassified
v22.1,telegram/_videochat.py,2,Unclassified
v22.1,telegram/_webappdata.py,0,Unclassified
v22.1,telegram/_webappinfo.py,0,Unclassified
v22.1,telegram/_webhookinfo.py,0,Unclassified
v22.1,telegram/_writeaccessallowed.py,0,Unclassified
v22.1,telegram/constants.py,1,Unclassified
v22.1,telegram/error.py,1,Unclassified
v22.1,telegram/ext/__init__.py,0,Unclassified
v22.1,telegram/ext/_aioratelimiter.py,1,Unclassified
v22.1,telegram/ext/_application.py,3,Unclassified
v22.1,telegram/ext/_applicationbuilder.py,4,Unclassified
v22.1,telegram/ext/_basepersistence.py,1,Unclassified
