version,file_path,smell_count,subtype
v1.46.1.dev20250622,e2e_playwright/__init__.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/app_hotkeys.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/app_hotkeys_test.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/auth.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/auth_test.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/basic_app.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/basic_app_test.py,5,Unclassified
v1.46.1.dev20250622,e2e_playwright/compilation_error_dialog.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/compilation_error_dialog_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/config/__init__.py,0,Config
v1.46.1.dev20250622,e2e_playwright/config/script_level_config.py,0,Config
v1.46.1.dev20250622,e2e_playwright/config/script_level_config_test.py,0,Config
v1.46.1.dev20250622,e2e_playwright/config_arrow_truncation.py,0,Config
v1.46.1.dev20250622,e2e_playwright/config_arrow_truncation_test.py,0,Config
v1.46.1.dev20250622,e2e_playwright/config_static_serving.py,0,Config
v1.46.1.dev20250622,e2e_playwright/config_static_serving_test.py,0,Config
v1.46.1.dev20250622,e2e_playwright/conftest.py,2,Unclassified
v1.46.1.dev20250622,e2e_playwright/custom_components/__init__.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/custom_components/component_errors.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/custom_components/component_errors_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/custom_components/popular_components.py,2,Unclassified
v1.46.1.dev20250622,e2e_playwright/custom_components/popular_components_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/deploy_dialog.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/deploy_dialog_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/fast_rerun_safety.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/fast_rerun_safety_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/forward_msg_cache.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/forward_msg_cache_test.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/hello_app.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/hello_app_test.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/help_tooltip.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/help_tooltip_test.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/host_config.py,2,Config
v1.46.1.dev20250622,e2e_playwright/host_config_test.py,0,Config
v1.46.1.dev20250622,e2e_playwright/hostframe_app.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/hostframe_app_test.py,2,Unclassified
v1.46.1.dev20250622,e2e_playwright/i18n.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/i18n_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/iframe_resizer.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/iframe_resizer_test.py,2,Unclassified
v1.46.1.dev20250622,e2e_playwright/lazy_loaded_modules.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/lazy_loaded_modules_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/main_menu.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/main_menu_test.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/markdown_features.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/markdown_features_test.py,2,Unclassified
v1.46.1.dev20250622,e2e_playwright/mega_tester_app.py,4,Unclassified
v1.46.1.dev20250622,e2e_playwright/mega_tester_app_test.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/__init__.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/mpa_basics.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/mpa_basics_test.py,2,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/mpa_configure_sidebar.py,0,Config
v1.46.1.dev20250622,e2e_playwright/multipage_apps/mpa_configure_sidebar_test.py,2,Config
v1.46.1.dev20250622,e2e_playwright/multipage_apps/mpa_v2_custom_theme.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/mpa_v2_custom_theme_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/mpa_v2_transition.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/mpa_v2_transition_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/.dotfile.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/02_page2.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/03_page3.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/04_page_with_duplicate_name.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/05_page_5.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/06_page_6.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/07_page_7.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/08_slow_page.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/09_logo_page.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/10_small_logo_page.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/11_large_logo_page.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/12_page12.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/13_page13.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps/pages/__init__.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/__init__.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_anchors.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_anchors_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_basics.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_basics_test.py,2,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_initial_load.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_initial_load_test.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_title.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_title_test.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_top_nav.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/mpa_v2_top_nav_test.py,1,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/page_2.py,0,Unclassified
v1.46.1.dev20250622,e2e_playwright/multipage_apps_v2/page_3.py,0,Unclassified
