version,file_path,smell_count,subtype
v0.26.1rc0,examples/count_people_in_zone/inference_example.py,1,Utils
v0.26.1rc0,examples/count_people_in_zone/ultralytics_example.py,3,Utils
v0.26.1rc0,examples/heatmap_and_track/script.py,1,Utils
v0.26.1rc0,examples/speed_estimation/inference_example.py,1,Utils
v0.26.1rc0,examples/speed_estimation/ultralytics_example.py,3,Utils
v0.26.1rc0,examples/speed_estimation/video_downloader.py,0,Utils
v0.26.1rc0,examples/speed_estimation/yolo_nas_example.py,1,Utils
v0.26.1rc0,examples/time_in_zone/inference_file_example.py,1,Utils
v0.26.1rc0,examples/time_in_zone/inference_naive_stream_example.py,1,Utils
v0.26.1rc0,examples/time_in_zone/inference_stream_example.py,1,Utils
v0.26.1rc0,examples/time_in_zone/scripts/download_from_youtube.py,0,Utils
v0.26.1rc0,examples/time_in_zone/scripts/draw_zones.py,2,Utils
v0.26.1rc0,examples/time_in_zone/scripts/stream_from_file.py,1,Utils
v0.26.1rc0,examples/time_in_zone/ultralytics_file_example.py,1,Utils
v0.26.1rc0,examples/time_in_zone/ultralytics_naive_stream_example.py,1,Utils
v0.26.1rc0,examples/time_in_zone/ultralytics_stream_example.py,1,Utils
v0.26.1rc0,examples/time_in_zone/utils/__init__.py,0,Utils
v0.26.1rc0,examples/time_in_zone/utils/general.py,1,Utils
v0.26.1rc0,examples/time_in_zone/utils/timers.py,0,Utils
v0.26.1rc0,examples/tracking/inference_example.py,1,Utils
v0.26.1rc0,examples/tracking/ultralytics_example.py,0,Utils
v0.26.1rc0,examples/traffic_analysis/inference_example.py,1,Utils
v0.26.1rc0,examples/traffic_analysis/ultralytics_example.py,4,Utils
v0.26.1rc0,supervision/__init__.py,0,Unclassified
v0.26.1rc0,supervision/annotators/__init__.py,0,Unclassified
v0.26.1rc0,supervision/annotators/base.py,1,Unclassified
v0.26.1rc0,supervision/annotators/core.py,2,Unclassified
v0.26.1rc0,supervision/annotators/utils.py,2,Unclassified
v0.26.1rc0,supervision/assets/__init__.py,0,Data
v0.26.1rc0,supervision/assets/downloader.py,1,Data
v0.26.1rc0,supervision/assets/list.py,0,Data
v0.26.1rc0,supervision/classification/__init__.py,0,Unclassified
v0.26.1rc0,supervision/classification/core.py,2,Unclassified
v0.26.1rc0,supervision/config.py,0,Config
v0.26.1rc0,supervision/dataset/__init__.py,0,Unclassified
v0.26.1rc0,supervision/dataset/core.py,1,Unclassified
v0.26.1rc0,supervision/dataset/formats/__init__.py,0,Unclassified
v0.26.1rc0,supervision/dataset/formats/coco.py,2,Unclassified
v0.26.1rc0,supervision/dataset/formats/pascal_voc.py,2,Unclassified
v0.26.1rc0,supervision/dataset/formats/yolo.py,2,Unclassified
v0.26.1rc0,supervision/dataset/utils.py,1,Unclassified
v0.26.1rc0,supervision/detection/__init__.py,0,Unclassified
v0.26.1rc0,supervision/detection/core.py,3,Unclassified
v0.26.1rc0,supervision/detection/line_zone.py,1,Unclassified
v0.26.1rc0,supervision/detection/tools/__init__.py,0,Utils
v0.26.1rc0,supervision/detection/tools/csv_sink.py,1,Utils
v0.26.1rc0,supervision/detection/tools/inference_slicer.py,1,Utils
v0.26.1rc0,supervision/detection/tools/json_sink.py,1,Utils
v0.26.1rc0,supervision/detection/tools/polygon_zone.py,1,Utils
v0.26.1rc0,supervision/detection/tools/smoother.py,1,Utils
v0.26.1rc0,supervision/detection/tools/transformers.py,2,Utils
v0.26.1rc0,supervision/detection/utils/__init__.py,0,Utils
v0.26.1rc0,supervision/detection/utils/boxes.py,0,Utils
v0.26.1rc0,supervision/detection/utils/converters.py,1,Utils
v0.26.1rc0,supervision/detection/utils/internal.py,2,Utils
v0.26.1rc0,supervision/detection/utils/iou_and_nms.py,2,Utils
v0.26.1rc0,supervision/detection/utils/masks.py,0,Utils
v0.26.1rc0,supervision/detection/utils/polygons.py,0,Utils
v0.26.1rc0,supervision/detection/vlm.py,2,Unclassified
v0.26.1rc0,supervision/draw/__init__.py,0,Unclassified
v0.26.1rc0,supervision/draw/color.py,1,Unclassified
v0.26.1rc0,supervision/draw/utils.py,2,Unclassified
v0.26.1rc0,supervision/geometry/__init__.py,0,Unclassified
v0.26.1rc0,supervision/geometry/core.py,0,Unclassified
v0.26.1rc0,supervision/geometry/utils.py,0,Unclassified
v0.26.1rc0,supervision/keypoint/__init__.py,0,Unclassified
v0.26.1rc0,supervision/keypoint/annotators.py,1,Unclassified
v0.26.1rc0,supervision/keypoint/core.py,2,Unclassified
v0.26.1rc0,supervision/keypoint/skeletons.py,0,Unclassified
v0.26.1rc0,supervision/metrics/__init__.py,0,Unclassified
v0.26.1rc0,supervision/metrics/core.py,0,Unclassified
v0.26.1rc0,supervision/metrics/detection.py,2,Unclassified
v0.26.1rc0,supervision/metrics/f1_score.py,2,Unclassified
v0.26.1rc0,supervision/metrics/mean_average_precision.py,3,Unclassified
