Type,Name,Description,File,Module/Class,Line Number,Severity
Structural,High Number of Methods (NOM),Class 'erpnext.buying.doctype.purchase_order.purchase_order.DocType' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/buying/doctype/purchase_order/purchase_order.py,erpnext.buying.doctype.purchase_order.purchase_order.DocType,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.buying.doctype.supplier.supplier.DocType' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/buying/doctype/supplier/supplier.py,erpnext.buying.doctype.supplier.supplier.DocType,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.selling.doctype.opportunity.opportunity.DocType' has 12 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/selling/doctype/opportunity/opportunity.py,erpnext.selling.doctype.opportunity.opportunity.DocType,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.selling.doctype.sales_order.sales_order.DocType' has 21 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/selling/doctype/sales_order/sales_order.py,erpnext.selling.doctype.sales_order.sales_order.DocType,,High
Structural,High Number of Methods (NOM),Class 'erpnext.selling.doctype.sales_order.test_sales_order.TestSalesOrder' has 16 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/selling/doctype/sales_order/test_sales_order.py,erpnext.selling.doctype.sales_order.test_sales_order.TestSalesOrder,,High
Structural,High Number of Methods (NOM),Class 'erpnext.selling.doctype.installation_note.installation_note.DocType' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/selling/doctype/installation_note/installation_note.py,erpnext.selling.doctype.installation_note.installation_note.DocType,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.setup.doctype.email_digest.email_digest.DocType' has 42 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/setup/doctype/email_digest/email_digest.py,erpnext.setup.doctype.email_digest.email_digest.DocType,,High
Structural,High Number of Methods (NOM),Class 'erpnext.setup.doctype.company.company.DocType' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/setup/doctype/company/company.py,erpnext.setup.doctype.company.company.DocType,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.manufacturing.doctype.bom.bom.DocType' has 34 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/manufacturing/doctype/bom/bom.py,erpnext.manufacturing.doctype.bom.bom.DocType,,High
Structural,High Number of Methods (NOM),Class 'erpnext.utilities.transaction_base.TransactionBase' has 12 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/4.0.0-beta1/erpnext/utilities/transaction_base.py,erpnext.utilities.transaction_base.TransactionBase,,Medium
