Type,Name,Description,File,Module/Class,Line Number,Severity
Structural,High Number of Methods (NOM),Class 'erpnext.buying.doctype.purchase_order.purchase_order.PurchaseOrder' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/buying/doctype/purchase_order/purchase_order.py,erpnext.buying.doctype.purchase_order.purchase_order.PurchaseOrder,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.buying.doctype.supplier.supplier.Supplier' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/buying/doctype/supplier/supplier.py,erpnext.buying.doctype.supplier.supplier.Supplier,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.selling.doctype.opportunity.opportunity.Opportunity' has 12 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/selling/doctype/opportunity/opportunity.py,erpnext.selling.doctype.opportunity.opportunity.Opportunity,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.selling.doctype.sales_order.sales_order.SalesOrder' has 21 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/selling/doctype/sales_order/sales_order.py,erpnext.selling.doctype.sales_order.sales_order.SalesOrder,,High
Structural,High Number of Methods (NOM),Class 'erpnext.selling.doctype.sales_order.test_sales_order.TestSalesOrder' has 16 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/selling/doctype/sales_order/test_sales_order.py,erpnext.selling.doctype.sales_order.test_sales_order.TestSalesOrder,,High
Structural,High Number of Methods (NOM),Class 'erpnext.selling.doctype.installation_note.installation_note.InstallationNote' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/selling/doctype/installation_note/installation_note.py,erpnext.selling.doctype.installation_note.installation_note.InstallationNote,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.selling.doctype.customer.customer.Customer' has 18 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/selling/doctype/customer/customer.py,erpnext.selling.doctype.customer.customer.Customer,,High
Structural,High Number of Methods (NOM),Class 'erpnext.setup.doctype.email_digest.email_digest.EmailDigest' has 39 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/setup/doctype/email_digest/email_digest.py,erpnext.setup.doctype.email_digest.email_digest.EmailDigest,,High
Structural,High Number of Methods (NOM),Class 'erpnext.setup.doctype.company.company.Company' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/setup/doctype/company/company.py,erpnext.setup.doctype.company.company.Company,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.manufacturing.doctype.bom.bom.BOM' has 33 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/manufacturing/doctype/bom/bom.py,erpnext.manufacturing.doctype.bom.bom.BOM,,High
Structural,High Number of Methods (NOM),Class 'erpnext.manufacturing.doctype.production_planning_tool.production_planning_tool.ProductionPlanningTool' has 23 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/manufacturing/doctype/production_planning_tool/production_planning_tool.py,erpnext.manufacturing.doctype.production_planning_tool.production_planning_tool.ProductionPlanningTool,,High
Structural,High Number of Methods (NOM),Class 'erpnext.manufacturing.doctype.production_order.production_order.ProductionOrder' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/manufacturing/doctype/production_order/production_order.py,erpnext.manufacturing.doctype.production_order.production_order.ProductionOrder,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.accounts.report.accounts_receivable.accounts_receivable.AccountsReceivableReport' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,erpnext.accounts.report.accounts_receivable.accounts_receivable.AccountsReceivableReport,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.accounts.doctype.sales_invoice.test_sales_invoice.TestSalesInvoice' has 27 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/accounts/doctype/sales_invoice/test_sales_invoice.py,erpnext.accounts.doctype.sales_invoice.test_sales_invoice.TestSalesInvoice,,High
Structural,High Number of Methods (NOM),Class 'erpnext.accounts.doctype.purchase_invoice.purchase_invoice.PurchaseInvoice' has 21 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,erpnext.accounts.doctype.purchase_invoice.purchase_invoice.PurchaseInvoice,,High
Structural,High Number of Methods (NOM),Class 'erpnext.accounts.doctype.journal_voucher.journal_voucher.JournalVoucher' has 21 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/accounts/doctype/journal_voucher/journal_voucher.py,erpnext.accounts.doctype.journal_voucher.journal_voucher.JournalVoucher,,High
Structural,High Number of Methods (NOM),Class 'erpnext.accounts.doctype.account.account.Account' has 24 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/accounts/doctype/account/account.py,erpnext.accounts.doctype.account.account.Account,,High
Structural,High Number of Methods (NOM),Class 'erpnext.support.doctype.maintenance_schedule.maintenance_schedule.MaintenanceSchedule' has 16 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/support/doctype/maintenance_schedule/maintenance_schedule.py,erpnext.support.doctype.maintenance_schedule.maintenance_schedule.MaintenanceSchedule,,High
Structural,High Number of Methods (NOM),Class 'erpnext.hr.doctype.leave_allocation.leave_allocation.LeaveAllocation' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/hr/doctype/leave_allocation/leave_allocation.py,erpnext.hr.doctype.leave_allocation.leave_allocation.LeaveAllocation,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.hr.doctype.salary_slip.salary_slip.SalarySlip' has 16 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/hr/doctype/salary_slip/salary_slip.py,erpnext.hr.doctype.salary_slip.salary_slip.SalarySlip,,High
Structural,High Number of Methods (NOM),Class 'erpnext.hr.doctype.leave_application.leave_application.LeaveApplication' has 16 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/hr/doctype/leave_application/leave_application.py,erpnext.hr.doctype.leave_application.leave_application.LeaveApplication,,High
Structural,High Number of Methods (NOM),Class 'erpnext.hr.doctype.leave_application.test_leave_application.TestLeaveApplication' has 14 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/hr/doctype/leave_application/test_leave_application.py,erpnext.hr.doctype.leave_application.test_leave_application.TestLeaveApplication,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.stock.doctype.serial_no.serial_no.SerialNo' has 14 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/stock/doctype/serial_no/serial_no.py,erpnext.stock.doctype.serial_no.serial_no.SerialNo,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.stock.doctype.material_request.test_material_request.TestMaterialRequest' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/stock/doctype/material_request/test_material_request.py,erpnext.stock.doctype.material_request.test_material_request.TestMaterialRequest,,Medium
Structural,High Number of Methods (NOM),Class 'erpnext.stock.doctype.delivery_note.delivery_note.DeliveryNote' has 18 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/stock/doctype/delivery_note/delivery_note.py,erpnext.stock.doctype.delivery_note.delivery_note.DeliveryNote,,High
Structural,High Number of Methods (NOM),Class 'erpnext.stock.doctype.purchase_receipt.purchase_receipt.PurchaseReceipt' has 19 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,erpnext.stock.doctype.purchase_receipt.purchase_receipt.PurchaseReceipt,,High
Structural,High Number of Methods (NOM),Class 'erpnext.stock.doctype.stock_entry.stock_entry.StockEntry' has 30 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/stock/doctype/stock_entry/stock_entry.py,erpnext.stock.doctype.stock_entry.stock_entry.StockEntry,,High
Structural,High Number of Methods (NOM),Class 'erpnext.stock.doctype.stock_entry.test_stock_entry.TestStockEntry' has 44 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/stock/doctype/stock_entry/test_stock_entry.py,erpnext.stock.doctype.stock_entry.test_stock_entry.TestStockEntry,,High
Structural,High Number of Methods (NOM),Class 'erpnext.controllers.accounts_controller.AccountsController' has 31 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/controllers/accounts_controller.py,erpnext.controllers.accounts_controller.AccountsController,,High
Structural,High Number of Methods (NOM),Class 'erpnext.controllers.selling_controller.SellingController' has 27 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/controllers/selling_controller.py,erpnext.controllers.selling_controller.SellingController,,High
Structural,High Number of Methods (NOM),Class 'erpnext.controllers.buying_controller.BuyingController' has 18 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/controllers/buying_controller.py,erpnext.controllers.buying_controller.BuyingController,,High
Structural,High Number of Methods (NOM),Class 'erpnext.controllers.stock_controller.StockController' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/controllers/stock_controller.py,erpnext.controllers.stock_controller.StockController,,Medium
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.buying.doctype.supplier_quotation.supplier_quotation.SupplierQuotation' has LCOM of 13 (non-cohesive: 14, cohesive: 1)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/buying/doctype/supplier_quotation/supplier_quotation.py,erpnext.buying.doctype.supplier_quotation.supplier_quotation.SupplierQuotation,,Medium
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.buying.doctype.purchase_common.purchase_common.PurchaseCommon' has LCOM of 15 (non-cohesive: 15, cohesive: 0)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/buying/doctype/purchase_common/purchase_common.py,erpnext.buying.doctype.purchase_common.purchase_common.PurchaseCommon,,Medium
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.selling.doctype.opportunity.opportunity.Opportunity' has LCOM of 32 (non-cohesive: 49, cohesive: 17)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/selling/doctype/opportunity/opportunity.py,erpnext.selling.doctype.opportunity.opportunity.Opportunity,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.selling.doctype.sales_order.sales_order.SalesOrder' has LCOM of 56 (non-cohesive: 133, cohesive: 77)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/selling/doctype/sales_order/sales_order.py,erpnext.selling.doctype.sales_order.sales_order.SalesOrder,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.selling.doctype.sales_order.test_sales_order.TestSalesOrder' has LCOM of 66 (non-cohesive: 93, cohesive: 27)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/selling/doctype/sales_order/test_sales_order.py,erpnext.selling.doctype.sales_order.test_sales_order.TestSalesOrder,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.selling.doctype.installation_note.installation_note.InstallationNote' has LCOM of 44 (non-cohesive: 61, cohesive: 17)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/selling/doctype/installation_note/installation_note.py,erpnext.selling.doctype.installation_note.installation_note.InstallationNote,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.setup.doctype.naming_series.naming_series.NamingSeries' has LCOM of 31 (non-cohesive: 38, cohesive: 7)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/setup/doctype/naming_series/naming_series.py,erpnext.setup.doctype.naming_series.naming_series.NamingSeries,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.manufacturing.doctype.bom.bom.BOM' has LCOM of 108 (non-cohesive: 318, cohesive: 210)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/manufacturing/doctype/bom/bom.py,erpnext.manufacturing.doctype.bom.bom.BOM,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.manufacturing.doctype.production_planning_tool.production_planning_tool.ProductionPlanningTool' has LCOM of 81 (non-cohesive: 167, cohesive: 86)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/manufacturing/doctype/production_planning_tool/production_planning_tool.py,erpnext.manufacturing.doctype.production_planning_tool.production_planning_tool.ProductionPlanningTool,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.utilities.transaction_base.TransactionBase' has LCOM of 14 (non-cohesive: 21, cohesive: 7)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/utilities/transaction_base.py,erpnext.utilities.transaction_base.TransactionBase,,Medium
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.utilities.doctype.sms_control.sms_control.SMSControl' has LCOM of 24 (non-cohesive: 30, cohesive: 6)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/utilities/doctype/sms_control/sms_control.py,erpnext.utilities.doctype.sms_control.sms_control.SMSControl,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.accounts.doctype.sales_invoice.test_sales_invoice.TestSalesInvoice' has LCOM of 24 (non-cohesive: 186, cohesive: 162)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/accounts/doctype/sales_invoice/test_sales_invoice.py,erpnext.accounts.doctype.sales_invoice.test_sales_invoice.TestSalesInvoice,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.accounts.doctype.purchase_invoice.purchase_invoice.PurchaseInvoice' has LCOM of 24 (non-cohesive: 117, cohesive: 93)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,erpnext.accounts.doctype.purchase_invoice.purchase_invoice.PurchaseInvoice,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.accounts.doctype.account.account.Account' has LCOM of 80 (non-cohesive: 178, cohesive: 98)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/accounts/doctype/account/account.py,erpnext.accounts.doctype.account.account.Account,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.support.doctype.support_ticket.support_ticket.SupportTicket' has LCOM of 13 (non-cohesive: 17, cohesive: 4)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/support/doctype/support_ticket/support_ticket.py,erpnext.support.doctype.support_ticket.support_ticket.SupportTicket,,Medium
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.support.doctype.maintenance_schedule.maintenance_schedule.MaintenanceSchedule' has LCOM of 40 (non-cohesive: 80, cohesive: 40)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/support/doctype/maintenance_schedule/maintenance_schedule.py,erpnext.support.doctype.maintenance_schedule.maintenance_schedule.MaintenanceSchedule,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.hr.doctype.salary_slip.test_salary_slip.TestSalarySlip' has LCOM of 19 (non-cohesive: 20, cohesive: 1)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/hr/doctype/salary_slip/test_salary_slip.py,erpnext.hr.doctype.salary_slip.test_salary_slip.TestSalarySlip,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.hr.doctype.salary_structure.salary_structure.SalaryStructure' has LCOM of 12 (non-cohesive: 20, cohesive: 8)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/hr/doctype/salary_structure/salary_structure.py,erpnext.hr.doctype.salary_structure.salary_structure.SalaryStructure,,Medium
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.hr.doctype.leave_application.test_leave_application.TestLeaveApplication' has LCOM of 19 (non-cohesive: 41, cohesive: 22)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/hr/doctype/leave_application/test_leave_application.py,erpnext.hr.doctype.leave_application.test_leave_application.TestLeaveApplication,,High
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.stock.doctype.landed_cost_wizard.landed_cost_wizard.LandedCostWizard' has LCOM of 13 (non-cohesive: 14, cohesive: 1)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/stock/doctype/landed_cost_wizard/landed_cost_wizard.py,erpnext.stock.doctype.landed_cost_wizard.landed_cost_wizard.LandedCostWizard,,Medium
Structural,High Lack of Cohesion of Methods (LCOM),"Class 'erpnext.stock.doctype.serial_no.serial_no.SerialNo' has LCOM of 27 (non-cohesive: 59, cohesive: 32)",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/erpnext/v4.0.1/erpnext/stock/doctype/serial_no/serial_no.py,erpnext.stock.doctype.serial_no.serial_no.SerialNo,,High
