Type,Name,Description,File,Module/Class,Line Number,Severity
Structural,High Number of Methods (NOM),Class 'src.code_quality_analyzer.structural_smell_detector.StructuralSmellDetector' has 34 methods (excluding special methods and properties),./src/code_quality_analyzer/structural_smell_detector.py,src.code_quality_analyzer.structural_smell_detector.StructuralSmellDetector,,High
Structural,High Number of Methods (NOM),Class 'src.code_quality_analyzer.code_smell_detector.CodeSmellDetector' has 24 methods (excluding special methods and properties),./src/code_quality_analyzer/code_smell_detector.py,src.code_quality_analyzer.code_smell_detector.CodeSmellDetector,,High
Structural,High Number of Methods (NOM),Class 'src.code_quality_analyzer.architectural_smell_detector.ArchitecturalSmellDetector' has 15 methods (excluding special methods and properties),./src/code_quality_analyzer/architectural_smell_detector.py,src.code_quality_analyzer.architectural_smell_detector.ArchitecturalSmellDetector,,Medium
Structural,High Response for a Class (RFC),"Class 'src.code_quality_analyzer.structural_smell_detector.StructuralSmellDetector' has RFC of 73 (methods: 34, external calls: 39)",./src/code_quality_analyzer/structural_smell_detector.py,src.code_quality_analyzer.structural_smell_detector.StructuralSmellDetector,,High
Structural,High Response for a Class (RFC),"Class 'src.code_quality_analyzer.code_smell_detector.CodeSmellDetector' has RFC of 49 (methods: 24, external calls: 25)",./src/code_quality_analyzer/code_smell_detector.py,src.code_quality_analyzer.code_smell_detector.CodeSmellDetector,,High
Structural,High Response for a Class (RFC),"Class 'src.code_quality_analyzer.architectural_smell_detector.ArchitecturalSmellDetector' has RFC of 50 (methods: 15, external calls: 35)",./src/code_quality_analyzer/architectural_smell_detector.py,src.code_quality_analyzer.architectural_smell_detector.ArchitecturalSmellDetector,,High
Structural,High Lines of Code (LOC),"Module 'src.code_quality_analyzer.structural_smell_detector' has 499 effective code lines
(Total: 1325, Code: 499, Doc: 570, Import: 8, Blank: 192)",./src/code_quality_analyzer/structural_smell_detector.py,src.code_quality_analyzer.structural_smell_detector,,High
Structural,High Lines of Code (LOC),"Module 'src.code_quality_analyzer.code_smell_detector' has 501 effective code lines
(Total: 1161, Code: 501, Doc: 469, Import: 9, Blank: 138)",./src/code_quality_analyzer/code_smell_detector.py,src.code_quality_analyzer.code_smell_detector,,High
Structural,High Lines of Code (LOC),"Module 'src.code_quality_analyzer.architectural_smell_detector' has 337 effective code lines
(Total: 553, Code: 337, Doc: 85, Import: 11, Blank: 83)",./src/code_quality_analyzer/architectural_smell_detector.py,src.code_quality_analyzer.architectural_smell_detector,,High
Structural,High Number of Classes (NOC),"Project has 8.0 weighted classes:
- Regular classes: 8
- Abstract/Interface classes: 0
- Utility classes: 0
- Test classes: 0 (not counted in weighted total)
Adjusted threshold: 7",/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/pyexamine,Project,,Medium
