Smell Type,Smell Name,Description,File Path,Module/Class,Line Number,Severity
Code Smell,Long Method,'cleanup' in pyrasbt\.convert_notebook_to_script.py at line 17,pyrasbt\.convert_notebook_to_script.py,cleanup,17,
Code Smell,Feature Envy,Method 'cleanup' at line 17 might be envying class related to 'line' in pyrasbt\.convert_notebook_to_script.py,pyrasbt\.convert_notebook_to_script.py,cleanup,17,
Code Smell,Long Method,'plot_decision_regions' in pyrasbt\ch02\ch02.py at line 253,pyrasbt\ch02\ch02.py,plot_decision_regions,253,
Code Smell,Temporary Field,self in class 'Perceptron' at line 88 in pyrasbt\ch02\ch02.py,pyrasbt\ch02\ch02.py,Perceptron,88,
Code Smell,Temporary Field,self in class 'AdalineGD' at line 314 in pyrasbt\ch02\ch02.py,pyrasbt\ch02\ch02.py,AdalineGD,314,
Code Smell,Temporary Field,self in class 'AdalineSGD' at line 459 in pyrasbt\ch02\ch02.py,pyrasbt\ch02\ch02.py,AdalineSGD,459,
Code Smell,Potential Shotgun Surgery,Method 'range' called in multiple places in pyrasbt\ch02\ch02.py,pyrasbt\ch02\ch02.py,range,,
Code Smell,Potential Shotgun Surgery,Method 'len' called in multiple places in pyrasbt\ch02\ch02.py,pyrasbt\ch02\ch02.py,len,,
Code Smell,Feature Envy,Method 'plot_decision_regions' at line 253 might be envying class related to 'np' in pyrasbt\ch02\ch02.py,pyrasbt\ch02\ch02.py,plot_decision_regions,253,
Code Smell,Long Method,'plot_decision_regions' in pyrasbt\ch03\ch03.py at line 161,pyrasbt\ch03\ch03.py,plot_decision_regions,161,
Code Smell,Temporary Field,self in class 'LogisticRegressionGD' at line 304 in pyrasbt\ch03\ch03.py,pyrasbt\ch03\ch03.py,LogisticRegressionGD,304,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch03\ch03.py,pyrasbt\ch03\ch03.py,print,,
Code Smell,Potential Shotgun Surgery,Method 'plot_decision_regions' called in multiple places in pyrasbt\ch03\ch03.py,pyrasbt\ch03\ch03.py,plot_decision_regions,,
Code Smell,Potential Shotgun Surgery,Method 'range' called in multiple places in pyrasbt\ch03\ch03.py,pyrasbt\ch03\ch03.py,range,,
Code Smell,Feature Envy,Method 'plot_decision_regions' at line 161 might be envying class related to 'np' in pyrasbt\ch03\ch03.py,pyrasbt\ch03\ch03.py,plot_decision_regions,161,
Code Smell,Temporary Field,self in class 'SBS' at line 530 in pyrasbt\ch04\ch04.py,pyrasbt\ch04\ch04.py,SBS,530,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch04\ch04.py,pyrasbt\ch04\ch04.py,print,,
Code Smell,Temporary Field,"key, value, self in class 'MajorityVoteClassifier' at line 166 in pyrasbt\ch07\ch07.py",pyrasbt\ch07\ch07.py,MajorityVoteClassifier,166,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch07\ch07.py,pyrasbt\ch07\ch07.py,print,,
Code Smell,Potential Shotgun Surgery,Method 'accuracy_score' called in multiple places in pyrasbt\ch07\ch07.py,pyrasbt\ch07\ch07.py,accuracy_score,,
Code Smell,Potential Shotgun Surgery,Method 'print' called in multiple places in pyrasbt\ch08\ch08.py,pyrasbt\ch08\ch08.py,print,,
