Type,Name,Description,File,Module/Class,Line Number,Severity
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.quantization.quantize_graph_test.QuantizeGraphTest' has 29 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/tools/quantization/quantize_graph_test.py,tensorflow.tools.quantization.quantize_graph_test.QuantizeGraphTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.tools.quantization.quantize_graph.GraphRewriter' has 29 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/tools/quantization/quantize_graph.py,tensorflow.tools.quantization.quantize_graph.GraphRewriter,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.saved_model.saved_model_test.SavedModelTest' has 18 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/saved_model/saved_model_test.py,tensorflow.python.saved_model.saved_model_test.SavedModelTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.layers.normalization_test.BNTest' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/layers/normalization_test.py,tensorflow.python.layers.normalization_test.BNTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.layers.core_test.DenseTest' has 16 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/layers/core_test.py,tensorflow.python.layers.core_test.DenseTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.layers.pooling_test.PoolingTest' has 14 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/layers/pooling_test.py,tensorflow.python.layers.pooling_test.PoolingTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.layers.convolutional_test.ConvTest' has 17 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/layers/convolutional_test.py,tensorflow.python.layers.convolutional_test.ConvTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.layers.convolutional_test.SeparableConv2DTest' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/layers/convolutional_test.py,tensorflow.python.layers.convolutional_test.SeparableConv2DTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.layers.convolutional_test.Conv2DTransposeTest' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/layers/convolutional_test.py,tensorflow.python.layers.convolutional_test.Conv2DTransposeTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.util.deprecation_test.DeprecationTest' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/util/deprecation_test.py,tensorflow.python.util.deprecation_test.DeprecationTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.util.protobuf.compare_test.AssertTest' has 13 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/util/protobuf/compare_test.py,tensorflow.python.util.protobuf.compare_test.AssertTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.function_test.FunctionTest' has 27 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/framework/function_test.py,tensorflow.python.framework.function_test.FunctionTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.graph_util_test.DeviceFunctionsTest' has 11 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/framework/graph_util_test.py,tensorflow.python.framework.graph_util_test.DeviceFunctionsTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.tensor_shape_test.ShapeTest' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/framework/tensor_shape_test.py,tensorflow.python.framework.tensor_shape_test.ShapeTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.importer_test.ImportGraphDefTest' has 44 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/framework/importer_test.py,tensorflow.python.framework.importer_test.ImportGraphDefTest,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.dtypes_test.TypesTest' has 15 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/framework/dtypes_test.py,tensorflow.python.framework.dtypes_test.TypesTest,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.docs.Library' has 16 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/framework/docs.py,tensorflow.python.framework.docs.Library,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.test_util.TensorFlowTestCase' has 22 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/framework/test_util.py,tensorflow.python.framework.test_util.TensorFlowTestCase,,High
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.ops.Operation' has 12 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/framework/ops.py,tensorflow.python.framework.ops.Operation,,Medium
Structural,High Number of Methods (NOM),Class 'tensorflow.python.framework.ops.Graph' has 46 methods (excluding special methods and properties),/Users/polguillou/Desktop/DMU-Work/architectural-smells-llm/tensorflow/v1.0.0-alpha/tensorflow/python/framework/ops.py,tensorflow.python.framework.ops.Graph,,High
